year,country_residence_iso3,n_billionaires,total_wealth,median_wealth,median_age,share_self_made
2011,MEX,9,122100000000,4000000000,67,0.4444444444444444
2011,MYS,7,30400000000,4700000000,72,0.8571428571428571
2011,NGA,2,15800000000,7900000000,55,1
2011,NLD,4,8800000000,1800000000,70.5,1
2011,NOR,4,12000000000,2950000000,67,0.75
2011,NZL,2,6900000000,3450000000,53,0.5
2011,PHL,4,11400000000,2250000000,67,0.75
2011,POL,4,8900000000,2200000000,51.5,1
2011,PRT,3,8900000000,2300000000,76,0.3333333333333333
2011,RUS,91,408300000000,1900000000,47,1
2011,SAU,8,54600000000,4750000000,61,0.75
2011,SGP,7,16200000000,1900000000,57,0.7142857142857143
2011,SWE,6,42800000000,3150000000,63,0.3333333333333333
2011,THA,3,12800000000,4300000000,66,0.3333333333333333
2011,TUR,36,61400000000,1350000000,60.5,0.4444444444444444
2011,TWN,13,34400000000,1600000000,58,0.5384615384615384
2011,UKR,8,31900000000,2500000000,45.5,1
2011,USA,395,1463900000000,2000000000,66,0.6962025316455697
2011,VEN,2,7600000000,3800000000,55,0
2011,ZAF,3,15100000000,4800000000,60,0.3333333333333333
2011,NA,112,313500000000,1900000000,62.5,0.6071428571428571
2012,ARE,5,9500000000,1600000000,56,0
